group_id,society_id,song_id,PopName,phylogeny.glottocode,Priority.ranking.for.review,pairing.glottocode
10176Pathansout2649pash1269,10176,408,Pathan,sout2649,10,pash1269
10627anga1288anga1288,10627,409,NA,anga1288,10,anga1288
17546jaun1243jaun1243,17546,410,NA,jaun1243,10,jaun1243
16028gond1265gond1265,16028,411,NA,gond1265,10,gond1265
21176mani1292mani1292,21176,412,NA,mani1292,10,mani1292
26995chit1274chit1274,26995,413,Tharu,chit1274,10,chit1274
26995chit1274chit1274,26995,414,Tharu,chit1274,10,chit1274
30103shan1277shan1277,30103,415,Shan,shan1277,10,shan1277
28271Kinhviet1252viet1252,28271,416,Kinh,viet1252,3,viet1252
24278rade1240rade1240,24278,417,NA,rade1240,3,rade1240
26808temi1246temi1246,26808,418,NA,temi1246,2,temi1246
20571stan1306stan1306,20571,419,Malay,mala1479,1,stan1306
15577Cameroon_Bafutbafu1246bafu1246,15577,420,Cameroon_Bafut,bafu1246,10,bafu1246
15577Cameroon_Bafutbafu1246bafu1246,15577,421,Cameroon_Bafut,bafu1246,10,bafu1246
15577Cameroon_Bafutbafu1246bafu1246,15577,422,Cameroon_Bafut,bafu1246,10,bafu1246
16292ngun1270ngun1270,16292,423,NA,ngun1270,10,ngun1270
16292ngun1270ngun1270,16292,424,NA,ngun1270,10,ngun1270
23073kand1300kand1300,23073,425,NA,kand1300,9,kand1300
12480bong1284bong1284,12480,426,NA,bong1284,10,bong1284
27369poke1238poke1238,27369,427,NA,poke1238,10,poke1238
27781rwan1241rwan1241,27781,428,NA,rwan1241,9,rwan1241
27781rwan1241rwan1241,27781,430,NA,rwan1241,9,rwan1241
11342hema1238hema1238,11342,431,NA,hema1238,3,hema1238
11342hema1238hema1238,11342,432,NA,hema1238,3,hema1238
10682nyan1307nyan1307,10682,433,NA,nyan1307,10,nyan1307
10682nyan1307nyan1307,10682,434,NA,nyan1307,10,nyan1307
10682nyan1307nyan1307,10682,435,NA,nyan1307,10,nyan1307
10682nyan1307nyan1307,10682,436,NA,nyan1307,10,nyan1307
