"song_id","society_id","unusualness_region","regional_mean","society_mean","society_region_diff","nn_distance_km","nearest_phyloneighbour","n_neighbours_250","n_neighbours_500","n_neighbours_1000","u_ea","u_kinship","u_economy","u_housing","GlottoID","FamilyLevGlottocode","Region","Society_latitude"
390,27028,-58.5831918016602,-48.5962067567524,-51.2482483589184,-2.65204160216601,410.002064417897,0.1218282666,0,2,24,-14.2843790448367,-7.45386938682099,-2.33593846528357,-3.93457740441421,"tibe1272","sino1245","South Asia",29.64
3903,20989,-38.9473363101432,-44.1634458617767,-47.3743117113326,-3.21086584955585,224.113286161601,0.186113767,1,5,9,-24.0785373505199,-15.0573303903863,-13.5001022743149,-4.81925241420503,"wich1264","mata1289","South America",-23.16
3904,20989,-48.6005921918689,-44.1634458617767,-47.3743117113326,-3.21086584955585,224.113286161601,0.186113767,1,5,9,-24.0785373505199,-15.0573303903863,-13.5001022743149,-4.81925241420503,"wich1264","mata1289","South America",-23.16
3905,20989,-47.6412390598038,-44.1634458617767,-47.3743117113326,-3.21086584955585,224.113286161601,0.186113767,1,5,9,-24.0785373505199,-15.0573303903863,-13.5001022743149,-4.81925241420503,"wich1264","mata1289","South America",-23.16
3909,23112,-40.0293923380859,-44.1634458617767,-36.312015766767,7.85143009500971,0.0321456786818103,0.151656756,2,2,3,-23.818693303081,-12.9154248219358,-8.69063162481412,-8.1865482441915,"onaa1245","chon1288","South America",-54.01
3912,10814,-35.9643954444793,-44.1634458617767,-45.5140024698989,-1.35055660812216,697.144850310396,0.2027109250005,0,0,2,-34.6647428881254,-20.6053238661254,-15.2681452169257,-2.05713499183254,"mapu1245","arau1255","South America",-40.07
391,27028,-52.0663007913364,-48.5962067567524,-51.2482483589184,-2.65204160216601,410.002064417897,0.1218282666,0,2,24,-14.2843790448367,-7.45386938682099,-2.33593846528357,-3.93457740441421,"tibe1272","sino1245","South Asia",29.64
3913,10814,-35.891591799586,-44.1634458617767,-45.5140024698989,-1.35055660812216,697.144850310396,0.2027109250005,0,0,2,-34.6647428881254,-20.6053238661254,-15.2681452169257,-2.05713499183254,"mapu1245","arau1255","South America",-40.07
3914,10814,-48.7127772674973,-44.1634458617767,-45.5140024698989,-1.35055660812216,697.144850310396,0.2027109250005,0,0,2,-34.6647428881254,-20.6053238661254,-15.2681452169257,-2.05713499183254,"mapu1245","arau1255","South America",-40.07
3915,10814,-55.6831854765396,-44.1634458617767,-45.5140024698989,-1.35055660812216,697.144850310396,0.2027109250005,0,0,2,-34.6647428881254,-20.6053238661254,-15.2681452169257,-2.05713499183254,"mapu1245","arau1255","South America",-40.07
3917,27215,-33.0578803705467,-44.1634458617767,-40.3609111602448,3.80253470153194,73.0707818275045,0.076029561,2,3,9,-27.0499375234143,-12.6626300084845,-10.855346923585,-5.16206655735152,"toba1269","guai1249","South America",-24.41
3918,27215,-37.27756099493,-44.1634458617767,-40.3609111602448,3.80253470153194,73.0707818275045,0.076029561,2,3,9,-27.0499375234143,-12.6626300084845,-10.855346923585,-5.16206655735152,"toba1269","guai1249","South America",-24.41
3919,27215,-46.5518147341092,-44.1634458617767,-40.3609111602448,3.80253470153194,73.0707818275045,0.076029561,2,3,9,-27.0499375234143,-12.6626300084845,-10.855346923585,-5.16206655735152,"toba1269","guai1249","South America",-24.41
